Tourist Spot,Classification,Address,Barangay,City / Town,Province, Entrance Fee ,Author,Review
Firefly Watching,Nature and Wildlife Areas,"Puerto Princesa South Road, Puerto Princesa, Palawan",Iwahig,Puerto Princesa,Palawan,600,Renato G,"The firefly tour was well organized including hotel pick up and drop off. Nice and funny guide. The boat tour, especially on the river was so peaceful and since I never saw fireflies before, I actually enjoyed it. "
Firefly Watching,Nature and Wildlife Areas,"Puerto Princesa South Road, Puerto Princesa, Palawan",Iwahig,Puerto Princesa,Palawan,600,Czar Emmanuel,"This is one activity you can do at Puerto Princesa as soon as the sun sets. There are many travel agencies that can organize it for you. It is best to go firefly watching when the moon is not out. The darker it is, the better, since in this way you can appreciate more the flickering lights of the insects. The boat ride through the mangroves is also quite romantic. The darkness, the silence, and the lights produced by the fireflies all create such a romantic atmosphere! Highly recommended!"
Nagtabon Beach,Beaches,"Puerto Princesa, Palawan",Bacungan,Puerto Princesa,Palawan,10,palawanismyhome,The first time i went to Nagtabon Beach was 25 years ago when the only way to get there was riding on the daily jeepney along a rough road which sometimes took up to 4 hours for the 30 km trip. 
Nagtabon Beach,Beaches,"Puerto Princesa, Palawan",Bacungan,Puerto Princesa,Palawan,10,Chris Reola,"Can't believe that there's really good waves here and a surf shop. Best beach in Puerto Princesa. We found a nice restaurant called Balai Surf, they have amazing vegetarian meals and the grilled fish is sooooo good. "
Nagtabon Beach,Beaches,"Puerto Princesa, Palawan",Bacungan,Puerto Princesa,Palawan,10,Kent Lim,"Nagtabon beach is far from the likes of El Nido and Coron Beaches. Nagtabon beach sand is fine but not as white as the other Palawan beaches. But definitely, this place has its own beauty. The waves are perfect for surfing. "
Sabang Beach,Beaches,"Sabang, Puerto Princesa, Palawan",Sabang,Puerto Princesa,Palawan, -   ,Ray SJ,Big Beach
Sabang Beach,Beaches,"Sabang, Puerto Princesa, Palawan",Sabang,Puerto Princesa,Palawan, -   ,Mari R,Lovely Beach
Sabang Beach,Beaches,"Sabang, Puerto Princesa, Palawan",Sabang,Puerto Princesa,Palawan, -   ,charismi,"Beautiful, quiet beach with soft sand and turquoise waters."
Puerto Princesa City Baywalk Park,Piers and Boardwalks,"Sandoval St, Puerto Princesa, Palawan",Seaside,Puerto Princesa,Palawan, -   ,Katy Santos,Relaxing walk in the baywalk after the tour
Puerto Princesa City Baywalk Park,Piers and Boardwalks,"Sandoval St, Puerto Princesa, Palawan",Seaside,Puerto Princesa,Palawan, -   ,Ron,Quick night tour
Puerto Princesa City Baywalk Park,Piers and Boardwalks,"Sandoval St, Puerto Princesa, Palawan",Seaside,Puerto Princesa,Palawan, -   ,Lisa C,Good
Palawan Heritage Center,History Museum,"PPQP+VQ5, Valencia St, Puerto Princesa, 5300 Palawan",Masikap,Puerto Princesa,Palawan,50,Tabby,Search for this hidden Gem!
Palawan Heritage Center,History Museum,"PPQP+VQ5, Valencia St, Puerto Princesa, 5300 Palawan",Masikap,Puerto Princesa,Palawan,50,Simone D,"Very nice place to visit. Museum guides are fantastic! I especially loved the amazing art work and learned a lot about the history of palawan.
Written 9 March 2023"
Palawan Heritage Center,History Museum,"PPQP+VQ5, Valencia St, Puerto Princesa, 5300 Palawan",Masikap,Puerto Princesa,Palawan,50,Alfredi Mabula,Beautiful hidden gem from usual tourist attractions
Palawan Butterfly Ecological Garden and Tribal Village,Nature and Wildlife Areas,"QPWJ+3W9, Puerto Princesa, 5300 Palawan",Sta. Monica,Puerto Princesa,Palawan,60,Mariann Tormon,Not Just All Butterfly
Palawan Butterfly Ecological Garden and Tribal Village,Nature and Wildlife Areas,"QPWJ+3W9, Puerto Princesa, 5300 Palawan",Sta. Monica,Puerto Princesa,Palawan,60,Merlin L,Amazing little place - such a surprise!
Palawan Butterfly Ecological Garden and Tribal Village,Nature and Wildlife Areas,"QPWJ+3W9, Puerto Princesa, 5300 Palawan",Sta. Monica,Puerto Princesa,Palawan,60,Aaqarsh Aiyyar,Environmental education
Immaculate Conception Cathedral,Religious Sites,"58 Rizal Avenue, Puerto Princesa, 5300 Palawan",Mabuhay,Puerto Princesa,Palawan, -   ,Katy Santos,They could make it a better cathedral as this is a touristy spot
Immaculate Conception Cathedral,Religious Sites,"58 Rizal Avenue, Puerto Princesa, 5300 Palawan",Mabuhay,Puerto Princesa,Palawan, -   ,SimonOnVacation,Visit the Adoration Chapel
Immaculate Conception Cathedral,Religious Sites,"58 Rizal Avenue, Puerto Princesa, 5300 Palawan",Mabuhay,Puerto Princesa,Palawan, -   ,ROCruiser,Beautiful Church
Iwahig Prison and Penal Farm,Educational Site,"Puerto Princesa, Palawan",Iwahig,Puerto Princesa,Palawan, -   ,Czar Emmanuel,Model penal colony
Iwahig Prison and Penal Farm,Educational Site,"Puerto Princesa, Palawan",Iwahig,Puerto Princesa,Palawan, -   ,palawanismyhome,Still worth the visit
Iwahig Prison and Penal Farm,Educational Site,"Puerto Princesa, Palawan",Iwahig,Puerto Princesa,Palawan, -   ,Ryan S,Wish I got in
Cowrie Island,Island,"RQQ9+QMQ, Puerto Princesa, Palawan",Sta. Lourdes,Puerto Princesa,Palawan,75,KMom,Clean! No flies! No trash! Beautiful sand and water. They take care of this place. My family had a great time.
Cowrie Island,Island,"RQQ9+QMQ, Puerto Princesa, Palawan",Sta. Lourdes,Puerto Princesa,Palawan,75,Elena Ciocan,"I can only say WOW. We spent few hours here and really enjoyed it. We bought the fresh coconut, we had massage at an incredible price. This is pure heaven"
Cowrie Island,Island,"RQQ9+QMQ, Puerto Princesa, Palawan",Sta. Lourdes,Puerto Princesa,Palawan,75,GRANDEBLUE,"I give you 5 stars only for the atmosphere and the kindness of people who work there. Pleaseee, do something for the toilets, were too dirty but still it’s worth it! I would go again!"
Palaweno Brewery,Breweries,"82 Manalo St, Puerto Princesa, 5300 Palawan",Model,Puerto Princesa,Palawan, -   ,Chris H,"Great craft beers, served in an interesting pub/bar, by lovely friendly people."
Palaweno Brewery,Breweries,"82 Manalo St, Puerto Princesa, 5300 Palawan",Model,Puerto Princesa,Palawan, -   ,aljax83,"We walked across town to visit here. I work in a brewery back in the UK so was excited to see one in Puerto Princesa. The reviews for the beers looked great. When we got there I was slightly disappointed that the beers I wanted to try were out... The IPA had such a good write up but there was none. I know it’s only a small brewery so it’s hard to always have everything available. Still slightly disappointed though. We had the Palawan Honey Kölsch and the Batak Warrior IPA (imperial). Only in bottles, not sure if they do any on tap? Beers were ok, well brewed in my opinion. Maybe I’ll get to try next time if I visit!"
Palaweno Brewery,Breweries,"82 Manalo St, Puerto Princesa, 5300 Palawan",Model,Puerto Princesa,Palawan, -   ,Natalie S,Stopped in here interested in trying some local beers. The lady behind the bar was very knowledgeable and happy to chat about all the beers. Really enjoyed the Palawan lager and the wheat beer - they might not be everyone’s favourite but we enjoyed them and found them both to be easy drinking and a cool relief on a warm day.
Palawan Wildlife Rescue and Conservation Center,Nature and Wildlife Areas,"QMXV+FRF, Puerto Princesa South Road, Puerto Princesa, Palawan",Irawan,Puerto Princesa,Palawan,40,Katy Santos,"Our first destination is the Palawan Wildlife Rescue and Conservation Center which is a home of not just crocodiles but other species such as birds, reptiles, and many others. This place is a research and rescue center for endangered species. We were welcomed outside with so many souvenir shops that sell crocodile balloons for kids and other colorful souvenir items. This place highlights huge crocs which are the Philippine Freshwater Crocodiles and the Saltwater Crocodiles. The tour starts in an exhibition hall where you’ll see a huge and long croc skeleton and its skin until you reach the hatchling area where baby crocs are located. There are a lot of baby crocs placed in white tubs where they’re being fed and kept. As you walked further, you’ll notice that the shape and size of these crocs grow further until you reach the den of adult crocs where you’ve to walk on an iron trail above the crocodiles where they’re caged and fed. At the end of the croc farm, you’ll be given a chance to hold a young croc and have a photoshoot, don’t worry as the mouth of the croc is sealed with tape. You have an option to have the photos printed out with a certain fee or ask them to take a photo of you using your camera or mobile phone.Afterward, you can walk at the back of the area where a mini zoo is located. The place looks a bit dingy which needs a lot of renovation. You’ll get to see aviaries of mynahs, parrots, and hornbills. Reptiles and other mammals are also being kept in captivity of this Nature Park, I didn’t go further as we were only given a limited time to tour around the area."
Palawan Wildlife Rescue and Conservation Center,Nature and Wildlife Areas,"QMXV+FRF, Puerto Princesa South Road, Puerto Princesa, Palawan",Irawan,Puerto Princesa,Palawan,40,palawanismyhome,"It is quite a few years since our last visit but we had guests here from Manila so we paid another visit. The tour was the same but the souvenir and snack stands were all gone, and the toilet facilities were in a very poor condition. Tours were every 15 minutes and very informative, well worth the entrance fee."
Palawan Wildlife Rescue and Conservation Center,Nature and Wildlife Areas,"QMXV+FRF, Puerto Princesa South Road, Puerto Princesa, Palawan",Irawan,Puerto Princesa,Palawan,40,Lodnikka,"I was interested to see crocodiles, it was great to see baby-crocs and huge adults. 40 pesos ticket including short tour to see crocodiles. There is also a small animal park with birds, snakes and smaller animals. Park itself is quite rundown place. Really needs renovation."
Plaza Cuartel,Historic Sites,"PPRH+2V8, Taft St, Puerto Princesa, Palawan",Mabuhay,Puerto Princesa,Palawan, -   ,ROCruiser,Visiting this place was heart wrenching. So many lives vanished here as the Japanese murdered them on site. This is not a huge memorial ground but worth a visit. Beautiful surroundings. People are friendly and greeted us as we walked up from the cruise port. A must see place when in Puerto Princesa.
Plaza Cuartel,Historic Sites,"PPRH+2V8, Taft St, Puerto Princesa, Palawan",Mabuhay,Puerto Princesa,Palawan, -   ,Czar Emmanuel,"Small place, but rich in history"
Plaza Cuartel,Historic Sites,"PPRH+2V8, Taft St, Puerto Princesa, Palawan",Mabuhay,Puerto Princesa,Palawan, -   ,roaming_kiwi58,"This is a very historic spot in the city of Puerto Princesa. Originally it was built as a garrison by the Spanish. The Japanese imprisoned American soldiers here during WWII. When the Japanese realised they would lose the war, they murdered many American soldiers. Only a handful escaped. The area is now a park. The cathedral is across the road."
Palawan Special Battalion WW2 Memorial Museum,History Museum,"Rizal Avenue, Barangay San Miguel, Puerto Princesa, Palawan",San Miguel,Puerto Princesa,Palawan,50,steve n sharon,"if your a ww2 buff like me you will enjoy....my dad was in the war and spent time here in the ph...this little privet collection is very nice...plenty of interest on all 3 sides....Philippines,japan,US...worth the 50 ps...."
Palawan Special Battalion WW2 Memorial Museum,History Museum,"Rizal Avenue, Barangay San Miguel, Puerto Princesa, Palawan",San Miguel,Puerto Princesa,Palawan,50,Krista.Cuffs,We visited the museum early one morning. My husband loved it. He said it was very informative and he learned a lot about Palawan's involvement in the war. He would definitely visit again.
Palawan Special Battalion WW2 Memorial Museum,History Museum,"Rizal Avenue, Barangay San Miguel, Puerto Princesa, Palawan",San Miguel,Puerto Princesa,Palawan,50,Andrei B,"It’s a very nice place to visit, i have a great time spending with my friends!"
Hundred Caves,Caverns and Caves,"3RJX+VMM, Puerto Princesa, Palawan",Tagabinet,Puerto Princesa,Palawan,500,cathhhhhh,A MUST do...as good as the river
Hundred Caves,Caverns and Caves,"3RJX+VMM, Puerto Princesa, Palawan",Tagabinet,Puerto Princesa,Palawan,500,the killer g,Hundred caves extreme version honest review
Hundred Caves,Caverns and Caves,"3RJX+VMM, Puerto Princesa, Palawan",Tagabinet,Puerto Princesa,Palawan,500,shapiro360,We were driving from the underground river back to Puerto when we saw the signs to the caves so we decided to stop
Mitra Farm,Farms,"Mitra Rd, Puerto Princesa, 5300 Palawan",Sta. Monica,Puerto Princesa,Palawan, -   ,Erinn G.,Good place but needs maintenance and improvement.
Mitra Farm,Farms,"Mitra Rd, Puerto Princesa, 5300 Palawan",Sta. Monica,Puerto Princesa,Palawan, -   ,G2Kpauly,I came here on a city tour and the view is pretty nice. It's 20 pesos to go on the porch and look around the house of Mitra and learn about what he did. There is a nice garden and horse you can ride too.
Mitra Farm,Farms,"Mitra Rd, Puerto Princesa, 5300 Palawan",Sta. Monica,Puerto Princesa,Palawan, -   ,myra2010,"when my friend recommended me to visit Mitra Farm, i expected to see rows and rows of fruit-bearing plants or a ranch perhaps. but it never so. what i see is a close rest house of a famous former solon atop the hill. for someone who is from the province and used to be surrounded by the greenery, we were not impressed by Mitra Farm. it was a waste of time."
Palawan Waterpark,Water Park,"XXM7+XCG, Puerto Princesa, Palawan",San Rafael,Puerto Princesa,Palawan,"1,200.00",ofelia b,"It was a very exciting and memorable experience at palawan waterpark. All the staff are very accomodating, respectful and friendly."
Palawan Waterpark,Water Park,"XXM7+XCG, Puerto Princesa, Palawan",San Rafael,Puerto Princesa,Palawan,"1,200.00",Freedom R,First of all idk to thank Mark Manuel Decierto and Apolinario Nerves and Rest of the Water Staffs of Palawan WaterPark.... They're so welcoming and helpful every time and we enjoyed everyday we are here.... We definitely coming back.
Palawan Waterpark,Water Park,"XXM7+XCG, Puerto Princesa, Palawan",San Rafael,Puerto Princesa,Palawan,"1,200.00",Elena Ciocan,"We stayed in Astoria, so entry was free. Quite a nice a place to relax and enjoy. Not so many attractions, but quite right to enjoy."
Napsan Beach,Beaches,"Puerto Princesa, Palawan",Napsan,Puerto Princesa,Palawan, -   ,Kevin,"It's a fabulous beach. We get up early in the day. We watch the sunrise at the beach. To me it's a excellent experience. I jogging at the Napsan Beach with more than 5 dogs, and singing at the beach with good views . Take off your shoes and listening to the waves.I'll never forget forever."
Napsan Beach,Beaches,"Puerto Princesa, Palawan",Napsan,Puerto Princesa,Palawan, -   ,hcareerph,I have been traveling a lot for the past 20 years and this was the first time I've seen and experience a soft and clean white sand coupled with clear waters. I would love to live here in the future.
Napsan Beach,Beaches,"Puerto Princesa, Palawan",Napsan,Puerto Princesa,Palawan, -   ,nic tric,"very quiet except on weekend, clear water, surfboards rental at some area ,easy to reach from puerto just 30km or 45min"
Palawan Museum,Specialty Museum,"PPQP+VQ5, Valencia St, Puerto Princesa, 5300 Palawan",Masikap,Puerto Princesa,Palawan,50,floodfloater,"This IS the history of Palawan. A quite comprehensive collection of historical finds and collections,well worth the time to see"
Palawan Museum,Specialty Museum,"PPQP+VQ5, Valencia St, Puerto Princesa, 5300 Palawan",Masikap,Puerto Princesa,Palawan,50,Pdready,Interesting collection of cultural artifacts and shells. We found the information boards about the various Palawan cultural groups and the prehistoric settlements the most interesting. Only 60 pesos admission and worth it for those interested in Palawan culture and environment.
Palawan Museum,Specialty Museum,"PPQP+VQ5, Valencia St, Puerto Princesa, 5300 Palawan",Masikap,Puerto Princesa,Palawan,50,jesuitfriar,"This is the first thing I look for when I sent foot on the island. They have a good introductory collection of both historical and natural artifacts. Though, the museum is a work in progress, the attempt to preserve the local culture is a good source of local pride and memory."
Kays Hotsprings,Thermal Spas,"RPWQ+C2P, Barangay Sta. Lourdes, Puerto Princesa, 5300 Palawan",Sta. Lourdes,Puerto Princesa,Palawan,150,Xsha Raine A,"Our stay at Kay's Water World Hot spring resort and spa was an excellent. We stayed in an unique place in city of Puerto Princesa...Beyond the relaxing atmosphere of the resort,the next best part was the accoustic band played at night as well as the fantastic food and excellent service at the restaurant and the preparation made for superior tasting. The staff was very attentive, Professional and Friendly. A wonderful mini vacation."
Kays Hotsprings,Thermal Spas,"RPWQ+C2P, Barangay Sta. Lourdes, Puerto Princesa, 5300 Palawan",Sta. Lourdes,Puerto Princesa,Palawan,150,MikeMontero,"When i visited at this place, last january this year, i am realy amazed in the place, its little quite with the playing accoustic music, its nice to have a glass of beer with my wife. Also i’ve been notice that the water are realy natural after i did asking the staff and they tour me to the source of the hot water and they orient me about the benefits i can get from the water. so i refer this place especially to the old guys and to those who suffer from the illness that this natural alcaline water can heal. Thats amazing experienced! Try this."
Kays Hotsprings,Thermal Spas,"RPWQ+C2P, Barangay Sta. Lourdes, Puerto Princesa, 5300 Palawan",Sta. Lourdes,Puerto Princesa,Palawan,150,Farrah S,"Super nice place, the owner and the staff are friendly and accommodating. The room is clean and comfortable very spacious. The foods are great. The hotspring pools are relaxing. Thank you for the wonderful experience."
Palawan Swing,Landmark,"Purok Rubber, Barangay, Puerto Princesa, 5300 Palawan",Luviminda,Puerto Princesa,Palawan,400,Mary Charmaine C,I love everything. The stuff are friendly and the food are delicious!!! ?????? worth the drive. Thank you to the owner she’s so nice.
Palawan Swing,Landmark,"Purok Rubber, Barangay, Puerto Princesa, 5300 Palawan",Luviminda,Puerto Princesa,Palawan,400,Jezreel Alegado,"I love the place, its really good to be here, if you're stressed? Soul searching? Unwind? What are you waiting for? this is the perfect place for you, palawan Swing is the perfect place to go if you want a fresh air, want to feel the mother nature, you can also try their awesome ameneties specially their giant Swing?? and also their infinity pool with overlooking forest view?? this place is very instagramable, the food is good and the staffs are very hospitable.Thank you palawan Swing I'll be back there?"
Palawan Swing,Landmark,"Purok Rubber, Barangay, Puerto Princesa, 5300 Palawan",Luviminda,Puerto Princesa,Palawan,400,Marj Ainne,"This is a good place that I've ever seen if you want a comfortable, quiet and relaxing place."
Palawan Environmental Enforcement Museum,Specialty Museum,"QQ72+V96, Barangay San Pedro, Puerto Princesa, Palawan",San Pedro,Puerto Princesa,Palawan,20,palawanismyhome,"I walk past here everyday and each month there are more and more chainsaws that have been confiscated from illegal loggers. There is a high tower of them. There are also confiscated vehicles, boats and trikes,. Used to be free but now there is a 20 pesos entrance charge. No need to go in as you can see everything from the street."
Palawan Environmental Enforcement Museum,Specialty Museum,"QQ72+V96, Barangay San Pedro, Puerto Princesa, Palawan",San Pedro,Puerto Princesa,Palawan,20,Loislim,"This non-government organization PNNI - Palawan NGO Network Inc. set up this group to enforce environmental laws. They can only do citizens arrest to people they catch using chainsaws without permits... imagine 1 chainsaw can cut down 20 trees a day, so for these group to have confiscated over a thousand chainsaws is a big feat! They should be commended ! The least we can do is visit their office cum museum and donate so they can continue the work they have started."
Palawan Environmental Enforcement Museum,Specialty Museum,"QQ72+V96, Barangay San Pedro, Puerto Princesa, Palawan",San Pedro,Puerto Princesa,Palawan,20,madtown37,"This impromptu museum is situated in and around the offices of the Palawan NGO Network, an organization that has been working on behalf of social and environmental justice in Palawan since 1991. In recent years, PNNI staff and volunteers have confiscated an astonishing array of chain saws, compressors, boats, trucks, drilling rigs, cages, and other equipment allegedly involved in illegal resource extraction and wildlife trafficking, much of it owned by powerful interests. I have much respect for these brave souls. Visitors to Puerto should stop in, offer a donation, and learn about the reality of environmental politics in Palawan---there's a lot more to the story than eco-tourism and conservation."
South Sea Pearl Museum,Specialty Museum,"Legislative Building, Puerto Princesa, 5300 Palawan",Tanglaw,Puerto Princesa,Palawan,50,Louie Jee J,A wonderful place to visit in Puerto Princesa. You will see a lot of elegant and rare south sea pearl in this museum. A must see place for pearl lover.
South Sea Pearl Museum,Specialty Museum,"Legislative Building, Puerto Princesa, 5300 Palawan",Tanglaw,Puerto Princesa,Palawan,50,Susan C,We visited the outlet on the quayside at Puerto Princesa. Beautifully dressed lady in golden dress and shawl which showed off the pearls perfectly. Free to try on necklaces and bracelets. Friendly staff. Photos welcome. This gave us an impression of Palawan island so I would visit the museum if we had more time.
South Sea Pearl Museum,Specialty Museum,"Legislative Building, Puerto Princesa, 5300 Palawan",Tanglaw,Puerto Princesa,Palawan,50,Kathy D,Spend all afternoon looking for this place as its about 20 minutes drive outside Puerto near the crocodile farm. Please don't go as they have moved to Robinson's shopping centre . It's now just a retail shop and very expensive . Bought earrings there only to see them at half the price in Delma pearl shop beside Canvas hotel.
