Restaurant Name,Author,Review
Ima's Vegetarian Restaurant,Tahlia McGregor,"Friendly service, cute small vibe seems like its run by a family. Food was delicious! I had the bean burrito, so many options. Wish we had more time to eat more"
Ima's Vegetarian Restaurant,Leon Pope,"Home cooked, warm & welcoming place packed with plants. Lovely homemade juices, and a super menu with endless options for both vegetarian & vegans. Honestly could have stayed in Puerto Princessa longer just to come back for the food."
Ima's Vegetarian Restaurant,Jayme Boehnert,"Our go-to place for quality vegetarian food in Puerto Prinsesa City, Palawan. Recommending their burritos w/ Ima's blend Service: Dine in Meal type: Lunch Food: 5 Service: 5 Atmosphere: 5"
Ima's Vegetarian Restaurant,Anneloes Velt,The Mexican dishes are the best! So much choice it makes it hard to choose. Service is super fast and staff is super friendly. Our new favorite place in Puerto Princesa!
Ima's Vegetarian Restaurant,Thom Pathuis,"Perfect! The food is amazing! (Try the bean buritto) The service is real nice and the restaurant itself is small and cosy! The juices are made with fresh fruits, and taste amazing to! After you ate you will smile, maybe even during eating! Vegetarian options: Alles op het menu is vegetarisch Parking: Naast de deur parkeren Dietary restrictions: Je kan het aangeven! Service: Dine in Meal type: Lunch Price per person: ?1200 Food: 5 Service: 5 Atmosphere: 5 Parking options: Free parking lot"
Ima's Vegetarian Restaurant,Brian Cruikshank,Best food I've had in the Philippines. Food: 5 Service: 5 Atmosphere: 5
Ima's Vegetarian Restaurant,Rommel Oropesa,"A ""must try"" place when in puerto princesa Food: 5 Service: 5 Atmosphere: 5"
Ima's Vegetarian Restaurant,Prahlad Agarwal,"The food is pretty good for Palawan, but just a single lady running the show. Had to wait more than an hour for the food to arrive. Also portion size is smaller so order 2 portions per person. Food: 5 Service: 2 Atmosphere: 3"
Ima's Vegetarian Restaurant,Toshi Tanaka,"Great little vegan outlet. Elderly owners are very friendly and helpful. The food is great, good value, and a lot of healthy options. It used to be located over the block, this is a prettier setting. Food: 5 Service: 5 Atmosphere: 5"
Ima's Vegetarian Restaurant,Julie Turin (JulieSmile),super cabbage place in the middle of princesa stone town offering vegetarian food only! you eat surrounded by plants and the food is super good!
Ima's Vegetarian Restaurant,Linda Pizarro,"Very nice place and friendly staff! Many vegan/vegetarian options and delicious food! Service: Dine in Meal type: Lunch Price per person: ?1200 Food: 5 Service: 5 Atmosphere: 5 Recommended dishes: Tempeh Steak, Chimichanga, Broccoli and Tofu"
Ima's Vegetarian Restaurant,Der Huhu,"One of the best restaurants in Palawan, the owners are super nice the servings are not too small. If you are vegan remind them as you order! Vegetarian options: They can veganice nearly the whole menu! Service: Dine in Meal type: Lunch Price per person: ?1200 Food: 5 Service: 5 Atmosphere: 5"
Ima's Vegetarian Restaurant,Owais Ahmed,"Best non meat restaurant in town. . Very affordable. . . Very delicious. . . Service: Dine in Meal type: Dinner Price per person: ?400600 Food: 5 Service: 5 Atmosphere: 3 Recommended dishes: Tortillas with Guacamole, Chimichanga, Beans Burrito Large"
Ima's Vegetarian Restaurant,Caro Diaz,Super tasty vegan food! Service: Dine in Meal type: Dinner Food: 5 Service: 5 Atmosphere: 5
Ima's Vegetarian Restaurant,Hasse Hansson,Ima delivered very tasty food for a good price in her relaxing restaurant covered with plants from ground to roof. A must visit for every vegetarian :) We came back numerous times! Service: Dine in Meal type: Dinner Price per person: ?1200 Food: 5 Service: 5 Atmosphere: 5
Ima's Vegetarian Restaurant,Anna-Sara Isakson,Can't recommend this place enough! So many options and good prices. We ate here atleast once everyday during our stay in PP. Super cosy atmosphere and lovely owner :-) Food: 5 Service: 5 Atmosphere: 5
Ima's Vegetarian Restaurant,Tahlia McGregor,"Friendly service, cute small vibe seems like its run by a family. Food was delicious! I had the bean burrito, so many options. Wish we had more time to eat more"
Ima's Vegetarian Restaurant,Leon Pope,"Home cooked, warm & welcoming place packed with plants. Lovely homemade juices, and a super menu with endless options for both vegetarian & vegans. Honestly could have stayed in Puerto Princessa longer just to come back for the food."
Ima's Vegetarian Restaurant,Jayme Boehnert,"Our go-to place for quality vegetarian food in Puerto Prinsesa City, Palawan. Recommending their burritos w/ Ima's blend Service: Dine in Meal type: Lunch Food: 5 Service: 5 Atmosphere: 5"
Ima's Vegetarian Restaurant,Anneloes Velt,The Mexican dishes are the best! So much choice it makes it hard to choose. Service is super fast and staff is super friendly. Our new favorite place in Puerto Princesa!
Ima's Vegetarian Restaurant,Thom Pathuis,"Perfect! The food is amazing! (Try the bean buritto) The service is real nice and the restaurant itself is small and cosy! The juices are made with fresh fruits, and taste amazing to! After you ate you will smile, maybe even during eating! Vegetarian options: Alles op het menu is vegetarisch Parking: Naast de deur parkeren Dietary restrictions: Je kan het aangeven! Service: Dine in Meal type: Lunch Price per person: ?1200 Food: 5 Service: 5 Atmosphere: 5 Parking options: Free parking lot"
Ima's Vegetarian Restaurant,Brian Cruikshank,Best food I've had in the Philippines. Food: 5 Service: 5 Atmosphere: 5
Ima's Vegetarian Restaurant,Rommel Oropesa,"A ""must try"" place when in puerto princesa Food: 5 Service: 5 Atmosphere: 5"
"Asiano gourmet cuisine, Seafood & Vegetarian restaurant",Natalie Murray,"The best food I've had in a long time. Owner and family are very friendly and attentive. You HAVE to eat here if you're in Sabang. As you can see from our plates essentially liked clean, the food was amazing. Vegetarian options: Vegan and veg options Kid-friendliness: Family establishment Service: Dine in Meal type: Dinner Price per person: ?400600 Food: 5 Service: 5 Atmosphere: 5 Recommended dishes: Chicken Curry, Aloo Gobi Masala"
"Asiano gourmet cuisine, Seafood & Vegetarian restaurant",Travis M.,Great food but all things considered it's overpriced. Took a long time to receive our food. Very small portions. No AC or breeze. Food is very good though... Food: 4 Service: 3 Atmosphere: 1
"Asiano gourmet cuisine, Seafood & Vegetarian restaurant",Oli Barrett,"Pricey for the area but you get what you pay for, excellent food. Only issue is it was too small"
"Asiano gourmet cuisine, Seafood & Vegetarian restaurant",Agnes Granberg,The place was before located at the beach and are now just a quick walk from the beach. Amazing food and the people who run the place are so nice!! You need to come here if you are in the area!!! You cant go here and miss eating at the restaurant! Vegetarian options: We chose the vegetarian tom yum soup and the pad thai. It was the best pad thai we had eaten! Service: Dine in Meal type: Dinner Price per person: ?400600
"Asiano gourmet cuisine, Seafood & Vegetarian restaurant",Emma Ahlbäck,"A really good place to eat. They have a lot of options. Food is affordable and the quality is incredible. The chef runs the restaurant on his own and is super kind! I would definitely go back. It is so close to the place we are staying, Cafe Sabang Guest House. Service: Dine in Meal type: Dinner Price per person: ?400600 Food: 5 Service: 5 Atmosphere: 5"
"Asiano gourmet cuisine, Seafood & Vegetarian restaurant",Frank Beja,Wow Food: 5 Service: 5 Atmosphere: 5
"Asiano gourmet cuisine, Seafood & Vegetarian restaurant",mitchell m,Food is fantastic! Fresh vegetables either Thai or India style. Her place on the beach was destroyed but the new place is still a work in progress. Definitely a great place to eat. Many items on the menu. Parking: Park on the quiet street. Easy. Service: Dine in Meal type: Dinner Price per person: ?200400 Food: 5 Service: 5 Atmosphere: 4
"Asiano gourmet cuisine, Seafood & Vegetarian restaurant",Carlo Reyes,The food is very delicious Food: 5 Service: 5 Atmosphere: 5
"Asiano gourmet cuisine, Seafood & Vegetarian restaurant",Pat Apon,Nice and good place and food! Food: 5 Service: 5 Atmosphere: 5
"Asiano gourmet cuisine, Seafood & Vegetarian restaurant",Tayla Whitehorn,"Most comfortable welcoming restaurant! Adonis is such a talented chef! He puts so much love into the menu and treated me like family! We got to chat for a long time which was so nice, I cant thank Adonis and the family enough for their time and kindness, and delicious food"
"Asiano gourmet cuisine, Seafood & Vegetarian restaurant",Gina Villalobos,For a delicious Asian food visit Asiano gourmet cuisine Food: 5 Service: 5 Atmosphere: 5
"Asiano gourmet cuisine, Seafood & Vegetarian restaurant",Camille Credo,perfect and delicious foods
"Asiano gourmet cuisine, Seafood & Vegetarian restaurant",Tessa Taylor,Vegetarian options: Tofu! Service: Dine in Meal type: Lunch Food: 5 Service: 5 Atmosphere: 4
"Asiano gourmet cuisine, Seafood & Vegetarian restaurant",Master LM Navarro,"Good food and service. Recommended and highly suggested for dates and impromptu meet ups Service: Dine in Meal type: Lunch Price per person: ?600800 Food: 5 Service: 5 Atmosphere: 5 Recommended dishes: Chicken Curry, Grilled Lapu Lapu, Moroccan Vegetable Stew"
"Asiano gourmet cuisine, Seafood & Vegetarian restaurant",Hana Wilson,"The chef runs the kitchen and service all himself. He's super friendly, the food is affordable and the quality is incredible. Great vegetarian options and while I'm not usually a banana shake fan, this one I adored. If you're in Sabang, highly recommend you pay this place a visit. Service: Dine in Meal type: Lunch Food: 5 Service: 5 Atmosphere: 4 Recommended dishes: Aloo Gobi Masala"
"Asiano gourmet cuisine, Seafood & Vegetarian restaurant",clemente jr aguinaldo,"Lovely food and owner! We will be back for sure. Best, Anja and Lennart"
Haim Chicken,John Paul Caber,Good place to dine.clean and affordable. Food: 5 Service: 5 Atmosphere: 5
Haim Chicken,Elizaldy Aquino,Food: 5 Service: 4 Atmosphere: 5
Haim Chicken,Juliuscezar De Castro,Food: 5 Service: 5 Atmosphere: 5
Haim Chicken,Lands End Inn TV,Dine in eat out with the team Service: Dine in Meal type: Lunch Price per person: ?1200
Haim Chicken,ronaldo gitana,"Good food and good to relax Service: Dine in Meal type: Dinner Price per person: ?200400 Food: 5 Service: 5 Atmosphere: 5 Recommended dishes: Chicken Inato, Steamed Vegetables"
Haim Chicken,Maurine Giet,"Didn't like at all, couldn't eat the food"
Haim Chicken,Teacher Raffie Rags to Riches TV,"Clean, convenient and affordable. Price per person: ?200400 Food: 5 Service: 5 Atmosphere: 5 Recommended dishes: Chicken Inato, Seafood"
Haim Chicken,Benmar Cabungason,"Service: Dine in Meal type: Dinner Price per person: ?1,4001,600 Food: 5 Service: 5 Atmosphere: 5 Recommended dishes: Chicken Inato, Fresh Fruit Cuts, Vegetable Lovers, Stuffed Squid, Mango Graham, Original Chicken Wing, Grilled Eggplant Salad, Sizzling Squid, Chicken Wings Hot, Leche Flan, Bami, Beef Kare, Chicken Leg, Seafood, Squid, Steamed Vegetables, Calamares, Palabok Platter, Beef Stew, Tenderloin Steak"
Haim Chicken,JOEY HEREDERO,A local restaurant with good food and very accessible location. Service: Dine in Meal type: Dinner Price per person: ?200400 Food: 5 Service: 5 Atmosphere: 5 Recommended dishes: Chicken Inato
Haim Chicken,Grace Camilla,"Service: Dine in Meal type: Lunch Price per person: ?200400 Food: 4 Service: 5 Atmosphere: 5 Recommended dishes: Chicken Inato, Vegetable Lovers, Chicken Wings Hot, Leche Flan, Bami"
Haim Chicken,Julian Lewis,"Good food firmed staff. Service: Dine in Meal type: Dinner Price per person: ?600800 Food: 5 Service: 5 Atmosphere: 4 Recommended dishes: Chicken Inato, Mango Graham"
Haim Chicken,Mabel Tuesday Manuel,Delicious and generous servings! You get more than your money's worth indeed! Waiters are also very warm and attentive. Service: Dine in Meal type: Lunch Price per person: ?200400 Food: 5 Service: 5 Atmosphere: 5
Haim Chicken,JA Baaco,Food: 5 Service: 4 Atmosphere: 4
Haim Chicken,David Hálek,Food: 3 Service: 3 Atmosphere: 3
Haim Chicken,Jeffreil Guinoo,"Wheelchair accessibility: newly renovated place, with access to wheelchair Service: Delivery Meal type: Brunch Price per person: ?1200 Food: 5 Service: 5 Atmosphere: 5 Recommended dishes: Seafood, Chicken Inato"
Haim Chicken,Maritess Borja,Sarap ng food sulit at Mura pa! Food: 5 Service: 5 Atmosphere: 5
Haim Chicken,Yelena Khegay,Service: Dine in Meal type: Lunch Price per person: ?200400 Food: 5 Service: 5 Atmosphere: 5 Parking space: Plenty of parking Parking options Free parking lot
Badjao Seafront Restaurant,Maricar Ombao,Food: 5 Service: 5 Atmosphere: 5
Badjao Seafront Restaurant,Lynne Francisco,Service: Dine in Meal type: Lunch Price per person: ?400600 Food: 4 Service: 4 Atmosphere: 5
Badjao Seafront Restaurant,Joanna Ho,"The place is very cool. Especially at night, very romantic and delicious food. For sure we will come back to it. Service: Dine in Meal type: Dinner Price per person: ?200400 Food: 5 Service: 5 Atmosphere: 5 Recommended dishes: Cerviche or Kinilaw Kilawin, Sizzling Squid, Sweet and Sour Fish Fillet, Seafood Platter, Fried"
Badjao Seafront Restaurant,Jeanney Purl Naila,Food: 5 Service: 5 Atmosphere: 5
Badjao Seafront Restaurant,Liz Moreno,"Big space, nice ambiance and view. Restaurant for family as well as for lovers because of the romantic vibes especially at night. You need to have a car or tricycle rented to go here but it is worth it. Service: Dine in Meal type: Dinner Price per person: ?600800 Food: 4 Service: 4 Atmosphere: 5 Recommended dishes: Grilled Blue Marlin, Cerviche or Kinilaw Kilawin, Lato Seaweed Salad, Sizzling Squid, Sweet and Sour Fish Fillet, Crispy Pata, Seafood Platter"
Badjao Seafront Restaurant,Melvin Domingo,The food is fresh. The ambiance is good. CR is clean. Food: 5 Service: 5 Atmosphere: 5
Badjao Seafront Restaurant,GM IRLANDEZ,after a long day visiting places and tourist destinations in palawan it is a must place to go and have a romantic dinner with your love one. the ambiance is good the food are great and the services is world class. Food: 5 Service: 5 Atmosphere: 5
Badjao Seafront Restaurant,crystal Goh,Meal type: Lunch Price per person: ?1200 Food: 5 Service: 5 Atmosphere: 5
Badjao Seafront Restaurant,Paul Bryan Dinglasa,"Service: Dine in Meal type: Other Price per person: ?1200 Food: 5 Service: 4 Atmosphere: 4 Recommended dishes: Seafood Salad, Sizzling Squid, Crispy Pata, Sinigang Na Hipon Set Meal"
Badjao Seafront Restaurant,Dous Baliton,Food: 5 Service: 5 Atmosphere: 5
Badjao Seafront Restaurant,Julie Suarnaba Bautista,Good food and customer service. They are open from 11AM until 9PM. Food: 5 Service: 5 Atmosphere: 5
Badjao Seafront Restaurant,Dee Swain,"A worthwhile eating highlight in Princessa. The place is a little out of the way but amazing setting. Mangroves on 3 sides, and bay/sunset facing to the front. Get there by 5-ish for a front table. Fabulous atmosphere / vibe! The staff were very attentive, helpful and friendly. We both agreed that in order our favs were first fried shrimp, next grilled squid, then crab, then steamed prawns. The last three were part of the seafood platter. Not cheap, but delivers on value for sure! 2500php for two incl. drinks. Highly recommended for something special. See the photos of the restaurant / entrance, views and food. Dietary restrictions: I'm IBS. No problem, super helpful Service: Dine in Meal type: Dinner Price per person: ?1,0001,200 Food: 5 Service: 5 Atmosphere: 5 Recommended dishes: Seafood Platter"
Badjao Seafront Restaurant,Merlyn Malana,Food: 4 Service: 5 Atmosphere: 4
Badjao Seafront Restaurant,Eric Utterback,Beautiful setting on the water and the lobster is sweet and succulent! Service: Dine in Meal type: Lunch Price per person: ?600800 Food: 5 Service: 5 Atmosphere: 5
Badjao Seafront Restaurant,Mariusz Cichonski,"Super,,ok Service: Dine in Meal type: Dinner Price per person: ?1200 Food: 5 Service: 5 Atmosphere: 5"
Badjao Seafront Restaurant,Raffy Asuncion,If environment and food ang hanap mo this is one of a kind resto. Food: 4 Service: 3 Atmosphere: 5
Badjao Seafront Restaurant,JOEY HEREDERO,A good dinner here by the sea/on the sea... Service: Dine in Meal type: Dinner Price per person: ?200400 Food: 5 Service: 4 Atmosphere: 5 Recommended dishes: Seafood Platter
Badjao Seafront Restaurant,Norlan Guan,Food: 5 Service: 5 Atmosphere: 5
Badjao Seafront Restaurant,Estela Glaub,Nice location in the mangroves with a good variety of delicious and affordable foods. The restaurant is clean. Good spot to spent a couple of hours in a relaxed atmosphere. Vegetarian options: rice and noodle dishes without meat available Parking: Plenty of parking-lots in front of the restaurant without charge Wheelchair accessibility: easily accessible for with wheelchair Service: Dine in Meal type: Lunch Price per person: ?400600
CAPTAIN RIBS,MIGUEL PH,"% you should visit this restaurant, amazing ribs (get the big one, you can) also the salpicao is very nice and their salads! Service: Dine in Meal type: Dinner Price per person: ?8001,000 Food: 5 Service: 5 Atmosphere: 5"
CAPTAIN RIBS,Michelle Newby,Great family place Food: 4 Service: 4 Atmosphere: 4
CAPTAIN RIBS,Ivine Osit,Yummy yummy food Food: 5 Service: 5 Atmosphere: 5
CAPTAIN RIBS,Ethel Joy Cuison,"Service: Dine in Meal type: Dinner Price per person: ?400600 Recommended dishes: Pork Ribs, Beef Tenderloin Steak with Garlic Rice and Vegetables, Pork Rib Steak, 500g Ribs and Fries"
CAPTAIN RIBS,Katrina Yap,"We love everything we ordered. Ribs were meaty, very tender and flavorful. The cordon blue is was not dry, unlike others we've tried before. The outside was crispy and white sauce was really good. Serving size is good. Service: Dine in Meal type: Dinner Food: 5 Service: 5 Atmosphere: 5 Recommended dishes: Pork Ribs"
CAPTAIN RIBS,christine dufroy,Really delicious meal! Cocktails at the top. And a more than warm welcome! And special attention for my husband's birthday. A beautiful memory
CAPTAIN RIBS,Dennis De Vera,"My date and I ordered nicoise salad and mushroom soup for starters and we didnt expect their servings were good for sharing. Not to mention the salad was delicious and fresh. Soup was thick and had a lot of real mushroom bits, a tasty soup indeed. We both had the bbq pork ribs for our main course because it was their specialty. Meat was so tender and almost falling off from the bone. Bbq sauce was equally delicious. Just what I prefer for bbq sauce, a little sweet and salty. Ambiance was cozy and relaxing with soft music - just perfect for a dinner date. Waiters were very attentive. This restaurant is a MUST-try when you come to Puerto Prinsesa. Meal type: Dinner Food: 4 Service: 5 Atmosphere: 4 Recommended dishes: Pork Ribs"
CAPTAIN RIBS,Willem 67,Very good ribs Food: 5 Service: 5 Atmosphere: 5
CAPTAIN RIBS,Julius Dangca,Food: 5 Service: 5 Atmosphere: 5
CAPTAIN RIBS,Jeremiah Paul Ariate,Pork Ribs Food: 3 Service: 4 Atmosphere: 5
CAPTAIN RIBS,Breavis,"Coming from America, the land of slow smoked baby back ribs, I can say these ribs are good, not great. However, they are still probably the best in Palawan. The chicken cordon Bleu was amazing."
CAPTAIN RIBS,Luke Banham,Really great atmosphere. Very chill and comfortable. I was surprised how nice it is in the garden out the back. The food was great and a very decent price. Staff and owner were very friendly and attentive too.
CAPTAIN RIBS,rodel arcillas,The place offers the best steak in Puerto Princesa City.
CAPTAIN RIBS,Ivy gladdys Capinig,"Verry bad i ordered yesterday for take out,i pay 1900P.the food it's not fresh,the ribs smell verry bad.i ordered chiken penne pasta they give me languini with red sauce and frozen chicken and it has some plastic wrap inside the chicken because it's frozen they forgot to remove it. I ordred also quesadillas beef they didin't put beef only tomato sauce and cheese i will never go back... the wrost restaurant in puerto princesa.you eat there tomorrow you go to the hospital"
CAPTAIN RIBS,Howard,Food us great. I always order a chicken parmigiana which is the best in town. Mrs loves the ribs and the kids always enjoy their meal. Lovely atmosphere with the lighting at night time.
CAPTAIN RIBS,Stephen Briand,Great food and drinks at reasonable prices. Nice atmosphere for couples.
CAPTAIN RIBS,Dave Buck,"Very nice clean place with good service, food was prepared even in a brown out and was great, well worth visiting"
CAPTAIN RIBS,Alberto Oleotti,Ribs are perfect and the crew very welcoming. You feel like at home
CAPTAIN RIBS,Palawan Island Trading,Good pasta. Ribs could be better.
Tataboom Bar & Restaurant,Tommi Jay,Service: Dine in Meal type: Dinner Price per person: ?400600 Food: 4 Service: 4 Atmosphere: 4
Tataboom Bar & Restaurant,Elzem Dinç Kirli,"Banana shake was very good. However, the portion of food was not satisfying. The chicken that came was very small. Unfortunately, we were not satisfied. Also, the soy sauce on the chicken was too much. Service: Dine in Meal type: Dinner Food: 3 Service: 4 Atmosphere: 5"
Tataboom Bar & Restaurant,Mary Rose Pagyos,Food: 5 Service: 5 Atmosphere: 5
Tataboom Bar & Restaurant,Nino Estacio,Food: 5 Service: 5 Atmosphere: 5
Tataboom Bar & Restaurant,Stephen Maupin,Chicken fingers truly finger size! Service: Dine in Meal type: Dinner Food: 4 Service: 5 Atmosphere: 5
Tataboom Bar & Restaurant,Fei Castillo,Spooky and FUN halloween party!!!! Food: 5 Service: 5 Atmosphere: 5
Tataboom Bar & Restaurant,Santhosh Sivanathan,We waited to long for food to arrive. After we asked the waitress it came one by one. Their fried chicken was not tasty at all and it was flavorless. They gave ketchup as a dip. The spicy squid was okay and their adobe was little better. They did offer potato wedges for free for the delay but we were full. Maybe they shouldve gave dessert or something.
Tataboom Bar & Restaurant,Morris Wryth Noronio,Excelent place to chill.
Tataboom Bar & Restaurant,Travis clough,The band was awesome.
Tataboom Bar & Restaurant,Bhong Omilda,Cool place and nice
Tataboom Bar & Restaurant,Garrett Devine,Good live music friendly staff
Tataboom Bar & Restaurant,Clara Yxabelle Ramos,Coldest beer in town...
Tataboom Bar & Restaurant,Dean Lacson,Band and entertainers are really good.
Tataboom Bar & Restaurant,wheng garadz,"More fun in puerto princesa cityI like d place & intertainment, all server are friendly"
Tataboom Bar & Restaurant,Precious Vega,Was only here for drinks. Had a great time singing some karaoke and fun entertaining hosts
Tataboom Bar & Restaurant,Len Jimena,"Good ambiance, great musicians on deck. It's a good place to hang out with your drinking buddies. The food could be improved. Drinks are okay."
Tataboom Bar & Restaurant,Anchovy Barros,"The best ""Humba"" in town. .Eat all you can for only P199.00 definitely Music and good food in 1"
Tataboom Bar & Restaurant,Aizel Baguinbin,This is my favorite place!cool place food was fantastic with frozen beer.
Tataboom Bar & Restaurant,Philip Tabang,Cool place highly recommended
White Fence Cafe,Cameron Lee,Its 1030 on a Friday morning. Perfect time for a coffee. Google says that theyre open. Why are they closed? Food: 1 Service: 1 Atmosphere: 1
White Fence Cafe,Zoe Tui,Food: 5 Service: 5 Atmosphere: 5
White Fence Cafe,David Negosa,Price of food does not compensate quantity of food.
White Fence Cafe,Omato Amatis,Its can tell its a nice place from the out side lets wait when quarantine was done
White Fence Cafe,Maureen Dingwasen,Relaxing ambiance and music ..
White Fence Cafe,Marcos Douglas Simoes,Delicious carbonara pata ! The place is really clean and has a lovely decoration! I loved !
White Fence Cafe,Mea Aine Abdurajik - Montante,great food and cozy ambiance ????
White Fence Cafe,Pat cadorette,Probably one of the best burgers in Puerto Princesa! Authentic taste
