Hotel Name,Address,Barangay,City / Town,Province,Amenities, Price Range ,Available Rooms,Other Data,Reviews
Two Seasons Coron Bayside Hotel,"National Road, Barangay Tagumpay, Palawan, Coron Town Proper, 5316 Coron, Philippines",Tagumpay,Coron,Palawan,"Outdoor swimming pool
Airport shuttle
Room service
Fitness center
Restaurant
Free WiFi
Family rooms
Bar
Wonderful Breakfast","8,000.00",54,"Land and Air transfers
Non-smoking rooms",329
Aziza Paradise Hotel,"BM Road, Barangay San Manuel, Palawan, 5300 Puerto Princesa, Philippines",San Manuel,Puerto Princesa,Palawan,"2 swimming pools
Airport shuttle (free)
Fitness center
Room service
5 restaurants
Free parking
Facilities for disabled guests
Free WiFi
Family rooms","3,115.00",128,"Land and Air transfers
Non-smoking rooms",706
 Citystate Asturias Hotel Palawan (Puerto Princesa City),"South National Highway , Tiniguiban, 5300 Puerto Princesa, Philippines ",Tiniguiban,Puerto Princesa,Palawan,"Outdoor swimming pool
Airport shuttle (free)
Fitness center
Spa
Room service
Restaurant
Facilities for disabled guests
Free WiFi
Breakfast","2,800.00",126,"Land and Air transfers
Non-smoking rooms",49
Asia Grand View Hotel (Coron),"Governors Avenue, Jolo, Barangay 5, 5316 Coron, Philippines – Great location - show map",Barangay V,Coron,Palawan,"Outdoor swimming pool
Airport shuttle
Free parking
Room service
Restaurant
Free WiFi
Spa
Family rooms
Bar","7,650.00",20,"Land and Air transfers
Non-smoking rooms",83
Coron Hilltop View Resort,"Brgy. Poblacion 6, Sitio Dipulao, Coron, 5316 Coron, Philippines",Conception,Coron,Palawan,"Outdoor swimming pool
Airport shuttle
Family rooms
Free parking
Room service
Breakfast","4,000.00",11,"Land and Air Transfers
Non-smoking rooms
Facilities for disabled guests
Travel Sustainable property
",14
Dianna’s Inn (Coron),"9 Nueva Street, Coron Town Proper, 5316 Coron, Philippines ",,Coron,Palawan,"Free WiFi
Airport shuttle
Family rooms
Free parking
Non-smoking rooms
Breakfast","1,824.00",13,"Land and Air transfers
Non-smoking rooms",86
UNCERTAIN AVAILABILITY: Maremegmeg Beach Club (El Nido),"Taytay - El Nido National Highway, 5313 El Nido, Philippines",,El Nido,Palawan,"Outdoor swimming pool
Free WiFi
Beachfront
Airport shuttle
Restaurant
Free parking
Non-smoking rooms
Tea/Coffee Maker in All Rooms
Bar
Breakfast",,12,"Land and Air transfers
Non-smoking rooms",43
UNCERTAIN AVAILABILITY: El Nido Resorts Pangulasian Island (El Nido),"Bacuit Bay, Palawan, 5313 El Nido, Philippines ",Buena Suerte Poblacion,El Nido,Palawan,"Outdoor swimming pool
Free WiFi
Beachfront
Airport shuttle (free)
Restaurant
Fitness center
Spa
Non-smoking rooms
Facilities for disabled guests
Bar",,42,"Land and Air transfers
Non-smoking rooms",3
UNCERTAIN AVAILABILITY: AL FARO Cosmio Hotel Palawan (Busuanga),"D'Pearl Bay Coron, Palawan, 5317 Busuanga, Philippines",,Busuanga,Palawan,"Outdoor swimming pool
Free WiFi
Airport shuttle (free)
Non-smoking rooms
Spa
Room service
Bar",,12,"Land and Air transfers
Non-smoking rooms",139
UNCERTAIN AVAILABILITY: Mahogany Resort & Spa (El Nido),"Corong Corong Beach, Palawan, 5313 El Nido, Philippines",Corong Corong,El Nido,Palawan,"Outdoor swimming pool
Free WiFi
Beachfront
Airport shuttle
Family rooms
Restaurant
Tea/Coffee Maker in All Rooms
Bar
Private beach area
Breakfast",,10,"Land and Air transfers
",168
Sotogrande Hotel Palawan (Puerto Princesa City),"KM10 National Highway, Purok Masigla, Barangay Tagburos, Palawan, 5300 Puerto Princesa, Philippines",Tagburos,Puerto Princesa,Palawan,"Outdoor swimming pool
Free WiFi
Airport shuttle
Restaurant
Free parking
Fitness center
Room service
Tea/Coffee Maker in All Rooms
Bar","3,636.00",147,"Land and Air transfers
Non-smoking rooms",0
