Hotel Name,Author,Country,Review
Cauayan Island Resort and Spa (El Nido),Melanie, United Kingdom,"Liked · It was a beautiful resort located on an amazing island. The rooms were clean and comfortable and the beach and pool were amazing. also the staff were wonderful - so kind, attentive and helpful. They offered to carry our sleeping 3 year old down from the sunset hike when she fell asleep!! We also enjoyed the snorkelling options - snorkelled with a turtle and baby reef sharks which was really cool.

Disliked · As it is on an island it is costly to get off the island to see Palawan. I would maybe consider offering shuttle transfers maybe with pick ups to those staying there as an option"
Cauayan Island Resort and Spa (El Nido),Jose, United Kingdom,"Liked · Incredible value for money. Hard to match location, staff were always very friendly, flexible and helpful. Felt like a top tier luxury stay at an affordable price. Lots of activities including sunrise/sunset hikes, scuba diving, bodyboarding, spa."
Cauayan Island Resort and Spa (El Nido),Xavi, Mexico,"Liked · Everything!! The resort feels like a dream, we loved every single thing!! The food, the staff, the location, the amenities, everything was amazing!! Best spot for our honeymoon!"
Cauayan Island Resort and Spa (El Nido),Megan, United Kingdom,"Liked · from the moment we were picked up to the moment we left we was looked after in such an incredible manor. could not fault the place, staff, settings and incredible food!"
Cauayan Island Resort and Spa (El Nido),Marie, Australia,"Liked · all the staff were super friendly and super helpful!
the location is also soooo beautiful, pictures and videos of this place doesnt even do any justice.. looks so much better in real life.
I cannot wait to book another holiday there!"
Cauayan Island Resort and Spa (El Nido),Gia, Australia,Liked · variety of food. location and interior. friendliest staff. images do not do this resort justice.
Vellago Resort (El Nido),Celestine, Australia,"Liked · First of all, the Vellago team was simply outstanding!!! We got an amazing welcome by Krisha and Angelo and the team, the breakfast in room, the room service, the amazing bar and restaurant employees, everyone was simply awesome, available, and helpful with a big smile! I will honestly miss everyone (thank you to the entire team (sorry I dont recall all the names but everyone was great!).
Regarding amenities, everything else was also perfect! We were staying in the Honeymoon Suite and the suite had honestly the most beautiful view that someone would imagine! The room was clean, lots of good quality amenities, everything you need to spend a beautiful stay!
Big hugs and kisses to the entire team, to the little dogs that were so cute, and our little Gecko that we sang together with ??!"
Vellago Resort (El Nido),Matt, Australia,Liked · Location was just amazing and the staff were even better
Vellago Resort (El Nido),Ralf, Germany,"Liked · The great hospitality, the way the staff cared, the breathtaking location, amazing food. We felt not like guests but friends at one of the most beautiful places in the Philippines!!"
Vellago Resort (El Nido),Jane, United States of America,Liked · everything! the exclusivity and privacy are the best!!!??
Vellago Resort (El Nido),Robin, Australia,Liked · This resort really is a gem. Staff was amazing and really hands on. Kudos to the chef. Really awesome food served. The view is absolutely fantastic. Would recommend this place to all my friends and fellow travellers.
Vellago Resort (El Nido),David, United Kingdom,"Liked · I don't often write reviews but I had no choice but I felt compelled.
First of all I want to say the staff make this place exceptional, the effort and service goes far beyond what it should.
The photos on booking.com do not even come close to the beauty of this place, when you ride in on the boat which is the only way to access the resort, you will soon come to realise you made a superb choice.
There are only 5 bungalow style rooms at this resort, we stayed in the deluxe sea view room with the hanging egg chair for two nights, and then swiftly tried to book a further 3 nights but had to settle for one of the other rooms as it was booked, but they too are beautiful.
The effort put into the ambience and landscaping leading into the bungalows is Bali like, with a Buddhist feel, it's beautiful beyond words, it's magical.
We were lucky to have the whole hotel to ourselves the first two nights and the staff went to an amazing effort to make us our evening meal on the beach, the staff really do go above and beyond.
The darkness of what actually feels like an island, as it's shut off from the mainland makes the stars at night burst out, so beach walks with your partner are extra special! ( You will also have your own personal security guard in the form of the one of the resort dogs who will escort you up and down the beach???? Two sausage dogs max and Bella, and two island dogs, they are all so lovey and friendly) it was like a home from home.
The beach hosts tours from the mainland throughout the day at the lower end of the beach, so you get the occasional tourist looking to take some photos of the resort as it's very picturesque, but once the sun sets ( which you have a premium view of here ) you are alone on the beach/resort.
if you are looking for that desert island feel, this is the place.
Thank you all so much, matamang salamat po.

Disliked · Hard to find anything, but I guess my only disappointment was that other than the main deluxe room, all of the rooms do not have a door on the toilet/shower and has no extractor fan and all have large windows into the bedroom, so privacy using the bathroom is zero, I asked the staff to place a curtain for us.
I know this is trivial and won't bother most, but some things should remain private?? ????
The other thing to consider is this is the tropics so you will see bugs, ants, snakes and spiders just like the mainland of which we seen most days, especially if your looking for them haha."
Vellago Resort (El Nido),Evelyn, United States of America,"Liked · we loved everything from the hotel, it is an incredible hotel with beautiful views and outstanding comfort. The beach is great, staff was amazing."
Vellago Resort (El Nido),Laura, United Kingdom,"Liked · If you are looking for a secluded, romantic getaway, I can highly recommend Vellago Resort. The staff went above and beyond in every way. They tidy the room every time you leave, bring breakfast to your terrace, and arrange the daybeds at the beach for you. Everyone there went out of their way to make sure we had a nice stay. The wifi in the room is good and the food is delicious. Since there are only a handful of rooms, you really feel like you have the whole place to yourself. If you are planning a trip to El Nido , you cannot miss this place!"
Vellago Resort (El Nido),Agnes, United States of America,"Liked · The STAFF was amazing from Marcello then Krisha, to Abe, Kent, Bong, Errol, Julius, John, Bern, Joey, Medin, Angelo, Warren, Ping, John, Patrick, Romulo, Marlon, and Ping.

Disliked · It would have been nice to have more privacy for the bathroom/shower area."
Vellago Resort (El Nido),Celestine, Australia,"Liked · The staff were so accommodating, nothing was too much trouble. Your receive a very boutique and personalised experience which makes the privacy of the area and resort even the more special. The location is just beautiful and tucked away, so its very peaceful. Initially when booking I thought the outlay/cost was expensive for the country, but now that we have been I would happily pay it again for the relaxation we got. When we have such busy lives it was easily the absolute best relaxation holiday we have had. We really enjoyed the boutique experience. It was exactly as described and would love to go again.

Disliked · It isnt a resort with all the amenities like pool etc, but I think with the staff/service/tranquility and not having all those people around it was even better and you dont really care. The beach is magic and our room had a bath and the day beds so it was exactly what we were looking for and as described."
Vellago Resort (El Nido),Albert, Singapore,"Liked · The staffs great. Warm, sincere folks."
Vellago Resort (El Nido),Daniel, Germany,"Liked · This resort is just exceptional and special.
From the start to the end, the service is just amazing.
You feel really special as a guest here.
Welcome Drink, decorated room, sun beds, service on the beach, the dinner(!) directly in the sand."
Vellago Resort (El Nido),Randy, United States of America,Liked · everything about this resort was amazing. The staff are so friendly and took care of all our needs and wants. The food was phenomenal and they really made our vacation unforgettable. Snorkeling in front of the resort was excellent.
Vellago Resort (El Nido),Andrea, United Kingdom,"Liked · An excellent secluded location, peaceful with beautiful views . Friendly staff who couldnt do enough to make the stay comfortable."
Vellago Resort (El Nido),Marcin, Poland,Liked · Amazing people who work in this place. The view from the villa is incredible. The food is delicious. Its difficult to describe how charming this resort is.
Vellago Resort (El Nido),Alexander, United Arab Emirates,"Liked · little piece of paradise

Disliked · all excursions where sold at a very high price"
Vellago Resort (El Nido),Mark, United Kingdom,"Liked · The staff and the owners were so kind, warm, hospitable, respectful, and thoughtful. The staff were exceptionally professional but still warm and sweet. The owners did above and beyond in organising a last minute short trip to the lagoons for us with champagne and sunset as a treat for our anniversary. We felt so special!
The rooms we had was the honeymoon suite and it exceeded our expectations. The photos online do not do it justice. It was bohemian chic/ luxury and very romantic. The room and the surroundings are very clean and fresh. We will definitely visit again! ??"
Vellago Resort (El Nido),Paul, France,"Liked · Amazing experience. We stayed for one night only as we are traveling around El Nido but we will come back for sure.
From the food, to the service, to the view everything was amazing.
The staff is very nice and the owners are lovely too."
Vellago Resort (El Nido),Hosni, Saudi Arabia,"Liked · its on private beach reachable by boat only , quiet , clean , staff were amazing made our stay unforgettable, food 10/10 , cant ask for more ."
Vellago Resort (El Nido),Gliza, Philippines,"Liked · it was the perfect honeymoon experience. from arrival to departure, their service was exceptional!"
,,,
, ,,
Vellago Resort (El Nido),Celestine, Australia,"Liked · First of all, the Vellago team was simply outstanding!!! We got an amazing welcome by Krisha and Angelo and the team, the breakfast in room, the room service, the amazing bar and restaurant employees, everyone was simply awesome, available, and helpful with a big smile! I will honestly miss everyone (thank you to the entire team (sorry I dont recall all the names but everyone was great!).
Regarding amenities, everything else was also perfect! We were staying in the Honeymoon Suite and the suite had honestly the most beautiful view that someone would imagine! The room was clean, lots of good quality amenities, everything you need to spend a beautiful stay!
Big hugs and kisses to the entire team, to the little dogs that were so cute, and our little Gecko that we sang together with ??!"
Vellago Resort (El Nido),Matt, Australia,Liked · Location was just amazing and the staff were even better
Vellago Resort (El Nido),Ralf, Germany,"Liked · The great hospitality, the way the staff cared, the breathtaking location, amazing food. We felt not like guests but friends at one of the most beautiful places in the Philippines!!"
Vellago Resort (El Nido),Jane, United States of America,Liked · everything! the exclusivity and privacy are the best!!!??
Vellago Resort (El Nido),Robin, Australia,Liked · This resort really is a gem. Staff was amazing and really hands on. Kudos to the chef. Really awesome food served. The view is absolutely fantastic. Would recommend this place to all my friends and fellow travellers.
Vellago Resort (El Nido),David, United Kingdom,"Liked · I don't often write reviews but I had no choice but I felt compelled.
First of all I want to say the staff make this place exceptional, the effort and service goes far beyond what it should.
The photos on booking.com do not even come close to the beauty of this place, when you ride in on the boat which is the only way to access the resort, you will soon come to realise you made a superb choice.
There are only 5 bungalow style rooms at this resort, we stayed in the deluxe sea view room with the hanging egg chair for two nights, and then swiftly tried to book a further 3 nights but had to settle for one of the other rooms as it was booked, but they too are beautiful.
The effort put into the ambience and landscaping leading into the bungalows is Bali like, with a Buddhist feel, it's beautiful beyond words, it's magical.
We were lucky to have the whole hotel to ourselves the first two nights and the staff went to an amazing effort to make us our evening meal on the beach, the staff really do go above and beyond.
The darkness of what actually feels like an island, as it's shut off from the mainland makes the stars at night burst out, so beach walks with your partner are extra special! ( You will also have your own personal security guard in the form of the one of the resort dogs who will escort you up and down the beach???? Two sausage dogs max and Bella, and two island dogs, they are all so lovey and friendly) it was like a home from home.
The beach hosts tours from the mainland throughout the day at the lower end of the beach, so you get the occasional tourist looking to take some photos of the resort as it's very picturesque, but once the sun sets ( which you have a premium view of here ) you are alone on the beach/resort.
if you are looking for that desert island feel, this is the place.
Thank you all so much, matamang salamat po.

Disliked · Hard to find anything, but I guess my only disappointment was that other than the main deluxe room, all of the rooms do not have a door on the toilet/shower and has no extractor fan and all have large windows into the bedroom, so privacy using the bathroom is zero, I asked the staff to place a curtain for us.
I know this is trivial and won't bother most, but some things should remain private?? ????
The other thing to consider is this is the tropics so you will see bugs, ants, snakes and spiders just like the mainland of which we seen most days, especially if your looking for them haha."
Vellago Resort (El Nido),Evelyn, United States of America,"Liked · we loved everything from the hotel, it is an incredible hotel with beautiful views and outstanding comfort. The beach is great, staff was amazing."
Vellago Resort (El Nido),Laura, United Kingdom,"Liked · If you are looking for a secluded, romantic getaway, I can highly recommend Vellago Resort. The staff went above and beyond in every way. They tidy the room every time you leave, bring breakfast to your terrace, and arrange the daybeds at the beach for you. Everyone there went out of their way to make sure we had a nice stay. The wifi in the room is good and the food is delicious. Since there are only a handful of rooms, you really feel like you have the whole place to yourself. If you are planning a trip to El Nido , you cannot miss this place!"
Vellago Resort (El Nido),Agnes, United States of America,"Liked · The STAFF was amazing from Marcello then Krisha, to Abe, Kent, Bong, Errol, Julius, John, Bern, Joey, Medin, Angelo, Warren, Ping, John, Patrick, Romulo, Marlon, and Ping.

Disliked · It would have been nice to have more privacy for the bathroom/shower area."
Vellago Resort (El Nido),Celestine, Australia,"Liked · The staff were so accommodating, nothing was too much trouble. Your receive a very boutique and personalised experience which makes the privacy of the area and resort even the more special. The location is just beautiful and tucked away, so its very peaceful. Initially when booking I thought the outlay/cost was expensive for the country, but now that we have been I would happily pay it again for the relaxation we got. When we have such busy lives it was easily the absolute best relaxation holiday we have had. We really enjoyed the boutique experience. It was exactly as described and would love to go again.

Disliked · It isnt a resort with all the amenities like pool etc, but I think with the staff/service/tranquility and not having all those people around it was even better and you dont really care. The beach is magic and our room had a bath and the day beds so it was exactly what we were looking for and as described."
Vellago Resort (El Nido),Albert, Singapore,"Liked · The staffs great. Warm, sincere folks."
Vellago Resort (El Nido),Daniel, Germany,"Liked · This resort is just exceptional and special.
From the start to the end, the service is just amazing.
You feel really special as a guest here.
Welcome Drink, decorated room, sun beds, service on the beach, the dinner(!) directly in the sand."
Vellago Resort (El Nido),Randy, United States of America,Liked · everything about this resort was amazing. The staff are so friendly and took care of all our needs and wants. The food was phenomenal and they really made our vacation unforgettable. Snorkeling in front of the resort was excellent.
Vellago Resort (El Nido),Andrea, United Kingdom,"Liked · An excellent secluded location, peaceful with beautiful views . Friendly staff who couldnt do enough to make the stay comfortable."
Vellago Resort (El Nido),Marcin, Poland,Liked · Amazing people who work in this place. The view from the villa is incredible. The food is delicious. Its difficult to describe how charming this resort is.
Vellago Resort (El Nido),Alexander, United Arab Emirates,"Liked · little piece of paradise

Disliked · all excursions where sold at a very high price"
Vellago Resort (El Nido),Mark, United Kingdom,"Liked · The staff and the owners were so kind, warm, hospitable, respectful, and thoughtful. The staff were exceptionally professional but still warm and sweet. The owners did above and beyond in organising a last minute short trip to the lagoons for us with champagne and sunset as a treat for our anniversary. We felt so special!
The rooms we had was the honeymoon suite and it exceeded our expectations. The photos online do not do it justice. It was bohemian chic/ luxury and very romantic. The room and the surroundings are very clean and fresh. We will definitely visit again! ??"
Vellago Resort (El Nido),Paul, France,"Liked · Amazing experience. We stayed for one night only as we are traveling around El Nido but we will come back for sure.
From the food, to the service, to the view everything was amazing.
The staff is very nice and the owners are lovely too."
Vellago Resort (El Nido),Hosni, Saudi Arabia,"Liked · its on private beach reachable by boat only , quiet , clean , staff were amazing made our stay unforgettable, food 10/10 , cant ask for more ."
Vellago Resort (El Nido),Gliza, Philippines,"Liked · it was the perfect honeymoon experience. from arrival to departure, their service was exceptional!"
,,,
, ,,
Club Paradise Palawan (Coron),Frank, United States of America,"Liked · Amazing location. How can you not love a private island? Decent snorkeling right from the beaches, great villas on the beach, good food, welcome foot rub! The Coron tour was fantastic I would recommend it to anyone. The animals were really cool to see, even if they scared us a couple times lol.

Disliked · The spa was just ok. The massage itself was great but the inside was hot and they didn't have a pillow to put under your feet so my ankles were hurting pretty bad by the end of it."
Club Paradise Palawan (Coron),Marqes, Philippines,"Liked · The staff and service were amazing, awesome presentation, welcome drinks, afternoon snacks, toiletries....
Amazing view, sadly we didnt get to do any water activities this trip.

Disliked · Breakfast was great!! But for the price of the food, food could do some improvements, more selections too..."
Club Paradise Palawan (Coron),Gianna, Philippines,"Liked · the island itself was amazing no doubt but the highlight for me was the staff. they were very accommodating, friendly, & helpful. I also loved how much they cared for the animals around the island."
Club Paradise Palawan (Coron),Paul, United States of America,"Liked · Privacy, exceptional service, beautiful location"
Club Paradise Palawan (Coron),Debbie, Germany,"Liked · great location, service is top notch, quiet, and brings you pretty close to nature. the island is beautiful with perfect emerald waters despite the sun not fully showing up! the villa is lux and we get to enjoy a free foot spa!

Disliked · not like is a strong word, the food taste could be better. don't get me wrong it is still good"
Club Paradise Palawan (Coron),Wesley, United Kingdom,"Liked · Amazing location with lots of wildlife all around (fruit bats, monitor lizards, many different types of fish, sea turtles, sting rays, giant clams etc). Snorkelling experience is out of this world. Very peaceful atmosphere at the sunset villas. Complimentary foot massage and treats on arrival were perfect and made us feel very welcome. Airport pickup and drop off service was fantastic.

Disliked · The food quality varied, and meat dishes tended to be pricey. The hotel's snorkel gear was subpar, with damaged and mismatched pieces. Had we relied on this we would not have had such a great experience. I suggest bringing your own equipment. Day trips were on the expensive side, especially compared to options on the main island, which deterred us from participating. We were pleased with our stay in one of the sunset villas, but were disappointed that the quality and atmosphere of other accommodations on the island did not match our experience. The staff housing appeared to be in poor condition, bordering on squalor, which made us feel uncomfortable. It's odd that access to Eagle's Point(highest place on the island) is limited to sunrise and sunset, and only by appointment, accompanied by the island's security personnel."
Club Paradise Palawan (Coron),John, Canada,Liked · Highly recommend this place if you want to relax and unwind in your vacation. The food is amazing too.
Club Paradise Palawan (Coron),Mark, United Arab Emirates,"Liked · Fantastic location with stunning scenario and corals.

Disliked · WiFi is very hot and miss when needed to catch up online for an hour each day! But not a deal breaker!"
Club Paradise Palawan (Coron),Ronald, Canada,"Liked · Staff was very friendly and helpful, the resort was very clean and breakfast was delicious

Disliked · Wifi in the villa was not reliable, trying to book the spa for massage was challenging so we ended up not getting them"
Club Paradise Palawan (Coron),Gemma, United Kingdom,"Liked · staff are very helpful

Disliked · peace and private"
Club Paradise Palawan (Coron),Pearse, Ireland,"Liked · This is an incredible little piece of paradise. We thoroughly enjoyed our stay and we would definitely recommend to family and friends and we will happily return and look forward to it. The snorkelling was so much fun and there was so much to see. The food was very tasty and the service was very friendly. We loved being able to relax and have lunch on the beech and Gerrick (definitely spelt incorrectly) was exceptional who worked at the Dugong bar. We also had room service one of the nights and that was also a great option and a nice touch. Overall we cant fault our stay.

Disliked · My only issue was with the time it took to return the deposit held on my card at the start of our stay. I was emailing them 3 weeks after to see when this money would be returned to my card. I think this needs to be improved as we have never stayed anywhere else where this wasnt done immediately."
Club Paradise Palawan (Coron),Caroline, Singapore,"Liked · I went to Club Paradise for a quick getaway for my birthday and it doesnt disappoint me, the place is indeed a paradise. I booked the sunset villa and it has 2 double beds and 1 super single bed and the room was nice and clean. I like the tranquility of the island, the cyan color of the water and white sand. All the staffs are nice and accomodating and the service is worth a 5 star, cant wait to be back."
Club Paradise Palawan (Coron),Rene, Austria,"Liked · Do it, book this hotel (source: we've been to 100+ beach accomodations and this is among the top)."
Club Paradise Palawan (Coron),Cherry, Ireland,Liked · Privacy
Club Paradise Palawan (Coron),Justina, Germany,"Liked · The place is really a little paradise. They pick you up by van and boat. And in our case they were very flexible with picking up time and place, since we were already on the island day before. Beach is clean and beautiful. Snorkeling is possible just few meters further. I do not know how they manage to have all these services and food brought to this island

Disliked · Actually all way very nice. They have on island a fruit bats. The biggest of the type. Which I loved. Maybe others may not like it. But they hang all day on tree and do not bother humans"
Club Paradise Palawan (Coron),Yan, China,"Liked · Cozy room, and great sea and underwater view!

Disliked · International food in restaurant is not authentic."
Club Paradise Palawan (Coron),Ethel, United States of America,"Liked · Club Paradise Palawan is a phenomenal destination. What sets this resort apart is the friendliness of all the staff. We love the sunset villa, amenities, food, and the staff. Everyone should visit this resort!"
Club Paradise Palawan (Coron),Aida, United States of America,"Liked · Staff were very nice and greeted you as they passed by. 2 bottles of fresh, filtered water was provided in your room daily. Food was delicious at Firefish restaurant. Children really enjoyed the pool. Great snorkeling on the house reef, just a few steps away from the beach. Van and boat transport from the airport to the hotel was inclusive and very convenient for us; it was great that we didnt have to worry about that. Our sunset villa was clean, updated, and comfortable.

Disliked · Only 1 restaurant available- but there was a wide selection of dishes."
Club Paradise Palawan (Coron),Blandina, United States of America,Liked · the excellent hospitality of the whole staff
Club Paradise Palawan (Coron),James, United Kingdom,"Liked · we stayed with Club Paradise for 3 nights as part of a two week trip around the Philippines. The island is beautiful, crystal clear water, lots of space and amazing animals.
We had some issues prior to arrival, essentially you have to arrive at Coron airport by 4pm in order to make the transfer window to the island. we had to take two additional flights in order to make the time and arrived pretty annoyed. Fritz and the rest of the team went out of their way to look after us and really rectified the situation.
The staff were outstanding with lots of lovely touches (morning coffee delivered to your villa, complementary guided hike to a viewing point and a lovely turn down gift)."
Two Seasons Coron Island Resort,József, Hungary,"Liked · That was our honeymoon 2nd resort to stay and they were extremely kind to us. Thats once in a lifetime place to visit.

Disliked · The pizza dough can be better (more Italian like)."
Two Seasons Coron Island Resort,Perez, United States of America,"Liked · Overall, we were pleased with the services that were provided. The staff were helpful & cordial. The property was well maintained & clean.

Disliked · We had an unsatisfied experience when we dined in for dinner. We ordered crispy pata which was overcooked, very tough to eat & chew."
Two Seasons Coron Island Resort,Jules, United States of America,Liked · This resort set the standard so high for their service staff that it is unmatched! Other hotels should train their staff on what it means to have excellent service! Cliff the water sports tour guide and life guard deserves all the recognition he can. He took excellent care of us and the rest of the staff made this trip an amazing and unforgettable experience
Two Seasons Coron Island Resort,Mary, Philippines,"Liked · The staff were always warm, friendly, accommodating and kind and went above and beyond to make sure we were taken care of. The location was absolutely stunning and the grounds beautifully kept. Mark Dalita, our guide on the two days we toured the islands, is exceptional at what he does and genuinely thrilled at sharing his hometown with guests.

Disliked · It was a beautiful stay from start to finish. There was one blip on our final day but it didn't ruin the experience and was not the fault of the resort per se. Two Seasons allows the use of drones beachside, just not near the cottages on the island's tip, so as to respect privacy. The problem was a drone user with an extra large drone-- it was bothersome to those of us relaxing on the shore and going in the water. The drone's buzzing was loud and the beeping noises from the remote control were annoying. Also, I don't think any of my party (and most likely other guests) had any desire to be captured on video. I will include a suggestion to the resort to ban drones-- they are invasive."
Two Seasons Coron Island Resort,Laura, Colombia,"Liked · A paradise of its own, yet very near to Coron city. Beaches of powdered sand just for the the delight or its guests. No crowds of tourists. Its waters are crystal clear due to its proximity to Linapacan, known as one of the planets most clearest waters on the planet"
Two Seasons Coron Island Resort,Gavin, Hong Kong,"Liked · Stunning setting, clear waters, palm trees, sunrises and sunsets visible from the beaches, warm greetings from staff, enjoyable experiences such as dining on the beach at sunset and water sports, private tours on offer, well kept grounds and staff on hand to tend to your needs. Dont miss out on a drink in the jacuzzi bar at the pool area, be sure to book a private beach setup for dinner at sunset. for private tours, dont miss out on Coron Island ultimate tour and the island hopping tour to Malcapuya Island and 2 others if you wish. the lunch provide at prearranged locations exceeded expectations. You can also take a walk across the sandbar at low tide to Bulog Dos Island and get your guide to tell you more and take photos for you, some of the staff are very talented with using iPhones so be sure to seek them out to get your postcard perfect shots. Also, the waters are full of marine life from baby sharks to stingrays and each time you pop in the clear waters is quite an experience to be surrounded by tropical fish. Overall, with blue sunny skies, youll feel in paradise and if youre looking to stay anywhere in Palawan when in Coron, this is the place for you.

Disliked · Only things would be advice or suggestions for improvements such as ensuring adequate food supplies as items didnt go out of stock and so affected food and drink choice from the menu. The spa was closed for renovation during our stay, but you could do a massage in your room. I would like to have seen a setup outside overlooking the waters for this in fact. make sure you apply insect repellent liberally as I came under attack with around 30 sand mite bites by the end of the trip. When the wind is up, the waters do get rough making boat trips back to Coron for the airport and to Coron Island for your tour rather rough, but the crew of your vessels know what theyre doing so youre in good hands."
Two Seasons Coron Island Resort,Takehisa, Japan,"Liked · The buffet had a wide selection of foods to choose from. Everyone had what they wanted.

Disliked · The menu for lunch or dinner seems quite monotonous. Lunch and dinner could have different menus."
Two Seasons Coron Island Resort,Kimberly, United Kingdom,"Liked · The level of customer service was next level. Our room was beautiful - we stayed in the Sandbar Bungalow, but due to the typhoon, we were not able to use the plunge pool or really sit out, but thankfully the room was beautiful enough for us to just enjoy inside. Unfortunately, typhoon Paeng affected our trip and canceled our flights out of Coron. However, we got engaged (yay!) and despite things not going to plan, the hotel staff did everything they could to ensure that we felt safe and helped us enjoy our stay no matter the weather. They helped us celebrate our engagement as best we could and made it feel so special. They really went above and beyond to help us book our next flights out and ensure we had a place to stay another night. They immediately told us as soon as we were able to leave the mini island and take the boat to the main island, and even secured a room for us (at a very reasonable price) at their sister hotel - The Two Seasons Bayside Resort. The room we had was amazing - it was their Panorama Suite - and the service there was just as exceptional. We couldn't have been more appreciative of all the staff, especially Dana at the Two Seasons Island Resort. Thank you to all the staff and Resort Manager. We hope to visit again in the future!

Disliked · The Typhoon! But that obviously cannot be helped but the hotel made us feel very safe and assisted us with everything."
Two Seasons Coron Island Resort,Grace, South Korea,"Liked · Food was great, staff are extra friendly, the beach is kind of small but still beautiful. Loved the free kayak etc and also worth visiting the Bulog Sandbar. Very clean and the pools were great too. My three kids and we loved it."
Two Seasons Coron Island Resort,Elif, Serbia,Liked · marvelous sea view
Two Seasons Coron Island Resort,Elif, Serbia,"Liked · peaceful environment, large&clean rooms, home comfort."
Two Seasons Coron Island Resort,Claire, United States of America,"Liked · The location is amazing, beautiful island. The staff were gracious and nice.

Disliked · The bathroom had a bad smell. I dont know if its from the recycled water but we told the front desk and it wasnt really remediedthe smell was still there."
Two Seasons Coron Island Resort,Marc, Hong Kong,"Liked · Staffs are very friendly and helpful. Always carry a smile on their face.

Disliked · There aren't many Filipino foods to pick form the menu and the price is a bit high."
Two Seasons Coron Island Resort,Maria, Germany,"Liked · The breakfast was good and the location is also good.

Disliked · That theres a lot of mosquitos and bed bugs/ small insects. I hope you guys will fix these problems. I had to see my dermatologist to fix my skin that took me 2 weeks to heal all my bits."
Two Seasons Coron Island Resort,Ray, United Kingdom,"Liked · beautiful resort, staff were great but bear in mind the Philippines is not as advanced as other places in the world with service and hospitality

Disliked · the food could be improved to include and focus on more fresh produce rather than imported goods that suit tourists as the fresh items were the most delicious"
Two Seasons Coron Island Resort,Theresa, Philippines,"Liked · The breakfast spread is ok...their ala carte meals are not all good..we ordered adobo but it taste like chicken bistek....we order 2 lobster and ask for lemon butter sauce....the sauce came in like mayonnaise and butter....they need to improve on their food as it is the only thing you eat when in the island...the inasal, crispy pork liempo and inihaw na liempo is good....the ensalada (lunch in the beach was good)...the roasted chicken for breakfast was good...and of course the 4 cheese pizza....otherwise nothing is serve extra special....with the cost....should be at par....
the staff are good noella, rommel, johnny, jojo, arjo and the speed boat operators are good....

Disliked · the food...."
